Data_Set,Category,Soil - Street,Soil - Yard,Soil - Dripline,Paint - Exterior,Paint - Interior,Dust - Threshold,Dust - Old dust,Dust - Windowsills,,,Total,Sum,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,1,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,3,6,7,1,4,3,1,,,SPD,YDETO,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,,1,1,2,,1,2,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,7,1,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,4,3,1,,1,1,1,,,S,YD,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,7,2,3,7,1,7,1,2,,,SPD,SDET,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,1,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,7,2,1,7,3,1,,,SD,DTO,,,,,,,,,,,,,,,,,,,
MC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,7,1,3,5,1,,,PD,EO,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,1,1,2,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,1,1,3,5,7,2,,,PD,ITO,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,3,5,2,1,1,1,,,SP,DE,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,3,5,1,1,1,2,1,,,S,YD,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,6,7,1,1,1,1,,,SP,DE,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,3,6,2,1,4,1,3,,,SD,YDTW,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,2,7,2,3,2,1,,,PD,ET,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,7,1,1,5,4,7,,,SD,DTOW,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,4,7,1,1,1,,,P,EI,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,3,1,1,7,7,7,,,SD,DTOW,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,4,1,1,7,7,1,,,SD,DTO,,,,,,,,,,,,,,,,,,,
MC Only,,1,1,1,1,4,2,1,1,,,P,I,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,7,7,1,7,7,1,,,SPD,DETO,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,4,2,1,7,6,2,,,SD,DTO,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,7,1,2,2,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,2,1,4,7,1,5,5,1,,,SPD,DETO,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,1,1,1,1,7,,,D,W,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,2,1,5,3,1,,,D,T,,,,,,,,,,,,,,,,,,,
MC Only,,,,,1,1,2,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,7,7,1,5,2,1,,,SPD,DET,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,,,,1,1,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,7,7,6,7,1,,,PD,EITO,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,5,6,,4,3,2,,,SPD,DETO,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,6,2,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,7,1,1,2,1,,,P,E,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,3,2,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,7,3,1,2,1,1,,,SP,DE,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,7,2,1,3,5,1,,,SD,DTO,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,7,,,2,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,3,3,2,,1,1,1,,,S,YD,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,4,1,1,1,1,3,2,2,,,SD,ST,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,2,1,1,6,1,1,1,7,,,PD,EW,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,7,3,7,1,2,,,PD,EIT,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,4,7,3,7,2,1,,,SPD,DEIT,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,2,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,3,,,D,W,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,2,1,7,3,1,,,D,TO,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,2,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,2,1,2,5,1,,,D,O,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,7,1,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,3,6,1,1,1,1,,,SP,DE,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,1,7,2,1,,,D,T,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,7,6,1,3,2,,,PD,EIO,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,2,7,2,2,2,3,,,PD,EW,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,7,3,1,3,1,1,,,SPD,DET,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,2,1,5,7,1,1,7,1,,,SPD,DEO,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,6,1,2,5,3,4,,,SD,DTOW,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,4,4,4,3,2,1,,,SPD,DEIT,,,,,,,,,,,,,,,,,,,
MC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,3,1,1,1,,,P,I,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,2,7,,,2,2,3,,,SD,DW,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,,1,1,1,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,3,7,7,7,2,1,,,SPD,DEIT,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,,,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,1,5,1,2,1,,,P,I,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,,1,1,1,1,1,2,4,1,,,D,O,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,7,1,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,1,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,2,1,2,3,7,4,3,1,,,PD,EITO,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,4,1,,,4,1,,,SD,DO,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,1,1,2,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,1,1,6,1,1,1,,,P,I,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,7,1,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,2,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,1950-1979,1,1,1,1,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
MC Only,Before 1950,1,1,2,7,1,7,1,1,,,PD,ET,,,,,,,,,,,,,,,,,,,
SJC Only,,,2,1,4,,1,,7,,,PD,EW,,,,,,,,,,,,,,,,,,,
SJC Only,,,,,,1,,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,7,7,7,4,1,1,1,,,SP,YDEI,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,7,7,1,7,1,7,,,SPD,DETW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,5,1,7,7,1,,,PD,ETO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,1,7,1,3,1,1,,,PD,ET,,,,,,,,,,,,,,,,,,,
SJC Only,,,,,,,2,7,1,,,D,O,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,4,6,1,6,,4,,,SPD,DETW,,,,,,,,,,,,,,,,,,,
SJC Only,,,1,1,1,1,,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,1,1,6,1,1,,,D,T,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,3,4,1,1,1,1,1,,,S,YD,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,,1,1,,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,7,4,7,1,7,4,1,,,SPD,YDETO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,4,7,5,7,4,5,1,,,SPD,YDEITO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,5,3,3,1,,,1,2,,,S,SYD,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,3,2,1,1,1,4,1,,,SD,YO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,7,1,2,,,7,7,,,,SD,STO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,1,5,1,1,,,1,,,S,D,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,7,6,7,7,,7,7,,,SPD,YDEIOW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,4,3,7,1,7,7,2,1,,,SPD,SYDIT,,,,,,,,,,,,,,,,,,,
SJC Only,1989-present,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,,2,1,1,1,1,6,,,D,W,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,2,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,2,,7,7,7,1,1,,,PD,EIT,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,1,1,7,1,3,,,D,TW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,7,2,1,2,1,7,,,SD,DW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,5,3,1,,7,,7,,,SD,YDTW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,2,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,1,3,1,1,,1,1,1,,,S,Y,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,7,3,7,,,,1,,,SP,YDE,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,,,,,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,3,1,,7,1,1,1,4,,,SPD,SEW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,,7,1,7,7,1,,,PD,ETO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,1,2,1,1,2,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,,,1,,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,4,1,1,1,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,6,2,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,,1,,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,,,,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,1,1,1,1,3,7,4,1,,,PD,ITO,,,,,,,,,,,,,,,,,,,
SJC Only,,2,1,7,7,5,1,1,2,,,SP,DEI,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,1,7,4,1,,,D,TO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,7,,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,,7,1,4,1,,,PD,IO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,1,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,,1,1,1,1,1,,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,2,7,7,1,7,,,PD,ITW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,1,2,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,2,7,7,7,7,1,,,PD,EITO,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,,,1,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,2,6,1,7,7,,7,,,SPD,DITW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,1,1,7,,,,,D,T,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,5,7,7,7,1,5,,,SPD,DEITW,,,,,,,,,,,,,,,,,,,
SJC Only,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1989-present,,1,1,,1,,,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,,,1,1,7,1,,,D,O,,,,,,,,,,,,,,,,,,,
SJC Only,,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,,,,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,2,2,1,,1,7,1,,,D,O,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,,7,,7,1,1,1,,,SP,DI,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,7,7,1,1,1,,,P,EI,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,1,1,1,1,1,,,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,2,6,4,1,1,1,1,1,,,S,YD,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,1,,1,7,1,,,D,O,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,7,2,7,1,,7,1,,,SPD,YEO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,4,7,2,7,1,7,1,1,,,SPD,SYET,,,,,,,,,,,,,,,,,,,
SJC Only,,,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,,2,7,1,7,,1,,,PD,ET,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,7,7,7,7,7,1,3,1,,,SPD,SYDEIO,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,1,1,1,2,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,4,3,7,2,1,1,1,1,,,S,SYD,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1989-present,1,1,3,1,1,1,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,3,1,7,,1,2,2,1,,,S,SD,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,7,6,1,1,1,1,,,SP,DE,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,2,1,,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,4,,7,6,1,1,,,SPD,DIT,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,1,4,2,7,7,2,4,,,SPD,DITW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,7,2,5,1,1,7,5,1,,,SD,SDTO,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,7,,3,7,,1,6,,,SPD,YEIW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,1,,,1,,4,,,,D,O,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,4,6,7,1,,1,,,,SP,YDE,,,,,,,,,,,,,,,,,,,
SJC Only,,,1,1,1,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,1,1,,,1,1,2,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,3,,7,7,1,7,1,,,SPD,YEIO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,2,2,4,1,1,1,,,P,I,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,1,,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,3,7,7,7,4,3,1,,,SPD,YDEITO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,7,7,1,4,7,2,,,SPD,DETO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,5,6,7,1,1,3,2,,,SPD,YDEO,,,,,,,,,,,,,,,,,,,
